
20.2.2015 - 21:15 [SGA]#CCFF33pingeris killed #6600ffRealjno for: block
20.2.2015 - 21:20 [SGA]Jack123 killed #000000No-#00ff00name for: idiot
20.2.2015 - 21:23 [SGA]#CCFF33pingeris killed Mad#ff0000Max#00dd00DZ for: block
20.2.2015 - 21:23 [SGA]Jack123 killed #000000No-#00ff00name for: idiot
20.2.2015 - 21:24 [SGA]Jack123 killed #000000No-#00ff00name for: block
20.2.2015 - 21:24 [SGA]#CCFF33pingeris killed Mad#ff0000Max#00dd00DZ for: block
20.2.2015 - 21:24 [SGA]Jack123 killed #000000No-#00ff00name for: block
20.2.2015 - 21:30 [SGA]Jack123 killed #000000No-#00ff00name for: idiot
21.2.2015 - 11:7 [SiK]PauerfC_Cl killed [uDka]#FF0000ZILINS for: nab
21.2.2015 - 11:13 [SiK]PauerfC_Cl killed [uDka]#FF0000ZILINS for: blocker
21.2.2015 - 11:44 [SGA]Jack123 killed DRONN for: block
21.2.2015 - 11:47 [SGA]Jack123 killed DRONN for: block
21.2.2015 - 11:50 [SGA]Jack123 killed DRONN for: idiot
21.2.2015 - 15:12 [SGA]Jack123 killed VokietijosZydas for: block
21.2.2015 - 22:23 SandySweet killed [PqEk]#00FF40Drex for: puto
21.2.2015 - 22:23 SandySweet killed DRONN for: puto
21.2.2015 - 22:23 SandySweet killed [PqEk]#00FF40Drex for: puto
21.2.2015 - 22:36 SandySweet killed #000000No-#00ff00name for: idiot
21.2.2015 - 22:36 SandySweet killed [PqEk]#00FF40Drex for: puto
21.2.2015 - 22:36 SandySweet killed #000000No-#00ff00name for: asd
21.2.2015 - 22:39 SandySweet killed #000000No-#00ff00name for: noob
21.2.2015 - 23:0 SandySweet killed N4#5f9ea0RK0M#4169e1AN for: puto
22.2.2015 - 10:26 SandySweet killed #000000No-#00ff00name for: asd
22.2.2015 - 10:26 SandySweet killed #000000No-#00ff00name for: asd
22.2.2015 - 10:30 [SGA]#CCFF33pingeris killed #000000No-#00ff00name for: block
22.2.2015 - 10:31 SandySweet killed #000000No-#00ff00name for: asd
22.2.2015 - 10:31 SandySweet killed #000000No-#00ff00name for: asd
22.2.2015 - 10:32 SandySweet killed #000000No-#00ff00name for: asd
22.2.2015 - 10:47 [SGA]#CCFF33pingeris killed Deyko for: block
22.2.2015 - 10:48 [SGA]#CCFF33pingeris killed #000000No-#00ff00name for: block
22.2.2015 - 11:18 [SGA]Jack123 killed DRONN for: idiot
22.2.2015 - 11:22 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 11:22 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 11:23 [SGA]Jack123 killed DRONN for: idot
22.2.2015 - 11:25 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 11:25 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 11:33 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 11:54 [SGA]Jack123 killed #000000No-#00ff00name for: fuck off
22.2.2015 - 12:31 [SGA]DOOZY#736AFFJude killed #000000No-#00ff00name for: ff
22.2.2015 - 12:37 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 12:39 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 12:42 [SGA]Jack123 killed #000000No-#00ff00name for: ff
22.2.2015 - 12:42 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 12:43 [SGA]DOOZY#736AFFJude killed #000000No-#00ff00name for: ff
22.2.2015 - 12:43 [SGA]DOOZY#736AFFJude killed #000000No-#00ff00name for: blocking my view
22.2.2015 - 12:46 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 12:47 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 12:52 [SGA]Jack123 killed DRONN for: block
22.2.2015 - 13:0 [SGA]#CCFF33pingeris killed DRONN for: block
22.2.2015 - 13:11 [SGA]Jack123 killed #000000No-#00ff00name for: block
22.2.2015 - 14:37 [SGA]DOOZY#736AFFJude killed [DoN]Granderski_Do$ for: ff
22.2.2015 - 14:37 [SGA]Jack123 killed [DoN]Granderski_Do$ for: block
22.2.2015 - 15:50 [SGA]DOOZY#736AFFJude killed #FFA500RedAngel for: ff
22.2.2015 - 16:33 [SGA]Jack123 killed #000000Anarhia for: block
23.2.2015 - 18:13 [SGA]Jack123 killed Nikala for: block
24.2.2015 - 8:50 -]alw[-#fff000MoshPit killed [DoN]Granderski_Do$ for: banhim
24.2.2015 - 9:11 -]alw[-#fff000MoshPit killed [DoN]Granderski_Do$ for: block
24.2.2015 - 9:12 -]alw[-#fff000MoshPit killed [DoN]Granderski_Do$ for: block
